title,opening_date,closing_date,year,year_closed,theatre_name,production_type,show_type,n_performances,show_never_opened,revival,pre_broadway,limited_run,repertory,id,theatre_id
At the Lower Harbor,1900-01-22,N/A,1900,N/A,American Theatre,Original,Musical,8.0,0,0,0,0,0,1113,5651
The Belle of New York,1900-01-22,N/A,1900,N/A,Casino Theatre,Revival,Musical,24.0,0,1,0,0,0,1115,7167
The Bohemian Girl,1900-03-26,N/A,1900,N/A,American Theatre,Revival,Opera,8.0,0,1,0,0,0,1117,7125
The Chimes of Normandy,1900-01-29,N/A,1900,N/A,American Theatre,Revival,Musical,8.0,0,1,0,0,0,1119,7125
Falka,1900-03-05,N/A,1900,N/A,American Theatre,Revival,Musical,8.0,0,1,0,0,0,1120,7125
Die Fledermaus,1900-01-01,N/A,1900,N/A,American Theatre,Revival,Musical,9.0,0,1,0,0,0,1121,7125
H.M.S. Pinafore,1900-04-09,N/A,1900,N/A,American Theatre,Revival,Musical,8.0,0,1,0,0,0,1124,7125
A Hot Old Time,1900-04-12,N/A,1900,N/A,Victoria Theatre,Revival,Musical,28.0,0,1,0,0,0,1125,7480
Iolanthe,1900-01-08,N/A,1900,N/A,American Theatre,Revival,Opera,8.0,0,1,0,0,0,1126,7125
The Magic Melody,1900-01-22,N/A,1900,N/A,American Theatre,Original,Musical,8.0,0,0,0,0,0,1129,5651
The Mikado,1900-04-16,N/A,1900,N/A,American Theatre,Revival,Musical,8.0,0,1,0,0,0,1131,7125
A Million Dollars,1900-09-27,N/A,1900,N/A,New York Theatre,Original,Musical,28.0,0,0,0,0,0,1132,5331
The Rounders,1900-06-25,N/A,1900,N/A,Casino Theatre,Revival,Musical,36.0,0,1,0,0,0,1133,7167
A Night in Venice,1900-04-30,N/A,1900,N/A,American Theatre,Revival,Musical,8.0,0,1,0,0,0,1134,7125
Patience,1900-03-19,N/A,1900,N/A,American Theatre,Revival,Musical,8.0,0,1,0,0,0,1135,7125
The Pirates of Penzance,1900-02-05,N/A,1900,N/A,American Theatre,Revival,Musical,8.0,0,1,0,0,0,1136,7125
A Romance of Athlone,1900-01-29,N/A,1900,N/A,Haverly's 14th Street Theatre,Original,Play,41.0,0,0,0,0,0,1140,7090
A Royal Rogue,1900-12-24,N/A,1900,N/A,Broadway Theatre,Original,Musical,30.0,0,0,0,0,0,1141,5017
A Runaway Girl,1900-04-23,1900-06-02,1900,1900.0,Daly's Theatre,Revival,Musical,40.0,0,1,0,0,0,1142,7561
Sons of Ham,1900-10-15,N/A,1900,N/A,Star Theatre,Original,Musical,8.0,0,0,0,0,0,1145,7557
Nell Gwynne,1901-05-06,N/A,1901,N/A,Koster and Bial's Music Hall,Revival,Musical,12.0,0,1,0,0,0,1160,7661
A Trip to Buffalo,1902-03-24,N/A,1902,N/A,Star Theatre,Original,Musical,9.0,0,0,0,0,0,1185,7557
A Son of Rest,1903-08-17,N/A,1903,N/A,Haverly's 14th Street Theatre,Original,Musical,16.0,0,0,0,0,0,1202,7090
Zig-Zag Alley,1903-01-19,N/A,1903,N/A,Star Theatre,Original,Musical,8.0,0,0,0,0,0,1207,7557
Fatinitza,1904-12-26,N/A,1904,N/A,Broadway Theatre,N/A,Musical,35.0,0,0,0,0,0,1212,5017
In Dahomey,1904-08-27,N/A,1904,N/A,Grand Opera House,Revival,Musical,17.0,0,1,0,0,0,1219,5720
The Old Homestead,1904-09-12,N/A,1904,N/A,New York Theatre,N/A,Play,61.0,0,0,0,0,0,1225,5331
Bankers and Brokers,1905-09-04,N/A,1905,N/A,West End Theatre,Original,Musical,24.0,0,0,0,0,0,1236,6622
Boccaccio,1905-02-27,1905-03-25,1905,1905.0,Broadway Theatre,Revival,Musical,N/A,0,1,0,0,0,1240,5017
Giroflé-Girofla,1905-01-31,N/A,1905,N/A,Broadway Theatre,N/A,Musical,16.0,0,0,0,0,0,1247,5017
His Honor the Mayor of the Bowery,1905-01-07,N/A,1905,N/A,Murray Hill Theatre,Original,Musical,9.0,0,0,0,0,0,1248,7396
A Hot Old Time,1905-05-27,N/A,1905,N/A,Murray Hill Theatre,Revival,Musical,9.0,0,1,0,0,0,1249,7396
A Jolly Baron,1905-09-04,N/A,1905,N/A,Haverly's 14th Street Theatre,Original,Musical,N/A,0,0,0,0,0,1254,7090
Simple Simon Simple,1905-10-30,N/A,1905,N/A,West End Theatre,Original,Musical,8.0,0,0,0,0,0,1262,6622
Sinbad,1905-02-27,N/A,1905,N/A,Murray Hill Theatre,Original,Musical,9.0,0,0,0,0,0,1263,7396
The Watch on the Rhine,1905-03-20,N/A,1905,N/A,Murray Hill Theatre,Revival,Musical,9.0,0,1,0,0,0,1265,7396
Around the Clock,1906-10-29,N/A,1906,N/A,American Theatre,Original,Musical,8.0,0,0,0,0,0,1268,7125
The Ham Tree,1906-07-30,N/A,1906,N/A,New York Theatre,Original,Revue,40.0,0,0,0,0,0,1274,5331
The Auto Race,1907-11-25,1908-05-23,1907,1908.0,Hippodrome Theatre,Original,Revue,312.0,0,0,0,0,0,1290,5372
The Bad Boy and His Teddy Bears,1907-12-23,1908-01-18,1907,1908.0,Lincoln Square Theatre,Original,N/A,44.0,0,0,0,0,0,1291,5892
The Battle of Port Arthur,1907-11-25,1908-05-23,1907,1908.0,Hippodrome Theatre,Original,Musical,312.0,0,0,0,0,0,1292,5372
The Cat and the Fiddle,1907-12-16,N/A,1907,N/A,West End Theatre,Original,Musical,8.0,0,0,0,0,0,1296,6622
Fascinating Flora,1907-05-20,N/A,1907,N/A,Casino Theatre,Original,Musical,113.0,0,0,0,0,0,1298,7167
"George Washington, Jr.",1907-02-11,N/A,1907,N/A,New York Theatre,Original,Musical,40.0,0,0,0,0,0,1301,5331
His Honor the Mayor,1907-06-03,N/A,1907,N/A,Chickering Hall,Revival,Musical,16.0,0,1,0,0,0,1309,7566
The Honeymooners,1907-06-03,1907-08-24,1907,1907.0,Aerial Gardens,Original,Musical,72.0,0,0,0,0,0,1310,7114
"Not Yet, But Soon",1907-03-04,N/A,1907,N/A,American Theatre,Original,Musical,8.0,0,0,0,0,0,1323,7125
The Old Homestead,1907-09-30,N/A,1907,N/A,Academy of Music,Revival,Play,40.0,0,1,0,0,0,1325,5339
The Prince of Pilsen,1907-05-06,N/A,1907,N/A,Academy of Music,Original,Musical,32.0,0,0,0,0,0,1330,5339
The Rogers Brothers in Panama,1907-09-02,N/A,1907,N/A,Broadway Theatre,Original,Musical,71.0,0,0,0,0,0,1331,5017
The Talk of New York,1907-12-03,1908-09-27,1907,1908.0,Knickerbocker Theatre,Original,Musical,173.0,0,0,0,0,0,1335,5300
Bandanna Land,1908-02-03,1908-04-18,1908,1908.0,Majestic Theatre,Original,Musical,89.0,0,0,0,0,0,1343,5052
The Battle of the Skies,1908-09-05,1909-05-29,1908,1909.0,Hippodrome Theatre,Original,Musical,448.0,0,0,0,0,0,1344,5372
The Merry Widow Burlesque,1908-01-02,N/A,1908,N/A,Weber and Fields' Music Hall,Original,N/A,156.0,0,0,0,0,0,1348,7487
Cohan and Harris Minstrels [1908],1908-08-03,N/A,1908,N/A,New York Theatre,Original,N/A,32.0,0,0,0,0,0,1350,5331
